"WkIe8 src","fontHeadlineSmall","MW4etd","UY7F9","IIrLbb","IIrLbb 2","ZiUbcb"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZksvjJVZgB11Ue7XB1r-bt3k-ln0nFyaLXbMvdOsbnff86OqJ1Jr5u2JB6bjpvNWiNOb0lF-a_sM3AcXtB2w_HHH8ChbSEEWTWLdj8ht_ywnPEcpva_0oDvINPHiJJdr8fsBjtg1UmrNA=w80-h120-k-no","mesa de HOY - PlantBased Restaurant","4,3","(445)","20–70 €","Végétarienne","·"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGO9yNc9xUKF4LN9TSCeBbDkFQjI4Aqx9K394L6azRofvwXLOpw30MjRqEhQPS-91b97J6qWj4oenRLJpL9eEfU9v7ty5k9rY4JXzpPyue5ctZIcjSfXzI8Gywu39MkMtFhx68=w115-h92-k-no","La Table des Bernardins","3,9","(68)","10–20 €","Café spécialisé dans les boissons expresso","·"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEm4x5euFmRPPiLpqY9VjkgIZ8wJI74bzbA4IBP5U7hXx8-Xa2whxk1xkHc29s6TIlOoD0JkdRxpw-h4P-Yn9rJ0nGx-SgDN2DRBiXWrYJ_3u96eoSVRlpaaN_Tyek4x8gl0kHs=w138-h92-k-no","La Bouchée Végé","5,0","(82)","","",""
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTpos62Q4cCKr_isjr6Xj9T6_lIvGo5cXQfOltguxJaIZ1gRd9EGTPfqg4X6SBMHq5D57-EN3BlNm7MPv-mdAT3AbIuUCgyveH9pUyQn1-Qk8vHh5ly0LNhpjAdUuvPOO-ip_2fudSaGE=w80-h106-k-no","Folie Crabe Etienne Marcel","4,7","(3 967)","Fruits de mer","",""
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGh-N8_YQU1ISLW2pYmcUKBHlpf9ajrcBkKTUW88QfR2j-Rt2S_BpoinndACjjrltl6OdHEehUK6ZKJbFznyCyn7hOeYu904nVNhnaw-bfM6gSzzvkPIzhm9eKZBMf6M6GQgz8dNKCNbu8f=w80-h99-k-no","La Réserve Paris - Hotel and Spa","4,8","(1 260)","Hôtel de tourisme 5 étoiles","",""
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeK2E6sJDdS08bQQuyWbU17JPfekAobh138nv-chGEeNbqA8Ss3oZewXrwrjhnKnYwyNR-WR7Nd00DWqcm7dAuhCWrPRNxJmWXi5nexmMPXnPOnF0paWMSBAD_R-qYI98aF9874g=w80-h106-k-no","Au Petit Riche","4,5","(2 295)","40–80 €","Française","·"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKknI8ZfrT0VItuM2HWUizKM0vShh4MUt8_tWG46YNZH1F2gVjkx6Ivw9GzmTNvxeDN7J21TjRr4ZoEsD9TyYCy5fUm-57wkGQUWoANpG8NYU3JGvEQTbXgW8tZJMy-nPKB8GG=w122-h92-k-no","Oroyona","4,5","(1 250)","€","Crêperie","·"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGM0W3ZyE5h3c78hrg9uWG1CVF8zuucou9g8x0ZAmYZ85QwuX0dIPRlNTQnxyTZ02nhPXAQg6vIILkmF4kc5gsmwMSJmilQgcao5a2DcXRZry8D6dEKTSUrtCqgpk3T1d-z8Cq_bw=w138-h92-k-no","Le Café des Chats","4,3","(7 061)","10–20 €","Française","·"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGb_1t-6FY42bYZ9iW-eZqsUNXHaQJCOZkHctkaChQKo7VGDqKY8Q7VVER-x1-NIzK0mLtECyv08AaxgpcIZY98oNN26-edTQoLLC1ME_T42oD0MgFpHgvKedcWIQf1g27VnH1G5HPFRqe8=w80-h142-k-no","La Cantine de Babelville","4,6","(704)","1–10 €","Plats africains","·"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMkygqgZqRI64VDGzcrt95LeYqc7pcrG5i5kVy2_ETHiEjzIWCNLJQxxAoLJnfQ5APAeFKECpp7SiZeu19lRJZIQBLtdGHEca3ulMWWuN1lTsXeY8o1StFgKP7seo4UOZh84w4Uw=w138-h92-k-no","Stern Ristorante","4,4","(461)","+ de 100 €","Italienne","·"
